County,State,Population,Poverty Rate,Median Age,Median Household Income,Number of Employees,Median Property Value
arenac-county-mi,mi,"15,238",18.5%,49.3,"$39,947","5,842","$88,900"
arkansas-county-ar,ar,"18,352",20.7%,40.9,"$38,532","7,920","$80,300"
arlington-county-va,va,"229,534",8.16%,34.4,"$112,138","143,798","$643,300"
armstrong-county-pa,pa,"66,737",13%,46,"$47,527","29,713","$98,600"
armstrong-county-tx,tx,"1,929",7.54%,45.9,"$68,750",968,"$128,600"
aroostook-county-me,me,"68,840",17.5%,47.2,"$39,021","30,233","$97,000"
arthur-county-ne,ne,421,10.9%,43.3,"$41,250",177,"$101,500"
ascension-county-la,la,,,,,,
ashe-county-nc,nc,"26,833",19.4%,47.2,"$40,293","12,174","$150,300"
ashland-county-wi,wi,"15,779",14.6%,41.7,"$41,505","7,366","$107,400"
ashland-county-oh,oh,"53,299",14.2%,40.4,"$50,893","25,070","$122,000"
ashley-county-ar,ar,"20,771",21.3%,41.8,"$36,407","7,905","$68,200"
ashtabula-county-oh,oh,"98,622",19.8%,42.5,"$43,017","40,003","$106,300"
asotin-county-wa,wa,"22,259",13.5%,44.7,"$47,483","9,824","$176,700"
assumption-county-la,la,,,,,,
atascosa-county-tx,tx,"48,139",14.6%,35.4,"$55,194","20,208","$96,100"
atchison-county-ks,ks,"16,466",18.5%,35.9,"$46,640","7,669","$92,900"
atchison-county-mo,mo,"5,335",12.1%,47.8,"$45,259","2,666","$82,000"
athens-county-oh,oh,"65,563",30.2%,28.6,"$37,191","27,434","$116,500"
atkinson-county-ga,ga,"8,313",27.4%,34.9,"$33,063","3,289","$62,500"
atlantic-county-nj,nj,"265,429",15.3%,41.9,"$61,212","129,700","$219,300"
atoka-county-ok,ok,"13,899",19.8%,40.8,"$37,106","4,664","$98,400"
attala-county-ms,ms,"18,731",22.6%,39.9,"$33,815","6,776","$72,700"
audrain-county-mo,mo,"25,763",16.7%,39.6,"$44,056","10,622","$95,800"
audubon-county-ia,ia,"5,711",11.1%,48.3,"$48,750","2,882","$68,800"
auglaize-county-oh,oh,"45,778",9.04%,41.1,"$59,516","23,229","$143,100"
augusta-county-va,va,"74,390",8.83%,44.6,"$59,544","34,960","$206,300"
aurora-county-sd,sd,"2,739",6.23%,39.9,"$57,257","1,462","$72,300"
austin-county-tx,tx,"29,292",13.4%,40.9,"$62,614","13,509","$175,200"
autauga-county-al,al,"55,036",13.7%,37.8,"$55,317","24,112","$143,000"
avery-county-nc,nc,"17,535",14.7%,44.5,"$37,109","6,778","$138,800"
avoyelles-county-la,la,,,,,,
baca-county-co,co,"3,581",19.5%,47.6,"$35,898","1,655","$79,800"
bacon-county-ga,ga,"11,279",23.2%,37.6,"$38,824","4,345","$73,200"
bailey-county-tx,tx,"7,098",22.3%,35.2,"$43,523","3,157","$68,000"
baker-county-fl,fl,"27,537",17.2%,37.1,"$59,506","10,567","$121,100"
baker-county-ga,ga,"3,251",19.5%,43.6,"$43,867","1,286","$79,500"
baker-county-or,or,"15,980",15.3%,47.9,"$43,765","6,354","$145,600"
baldwin-county-al,al,"203,360",11.8%,42.6,"$52,562","89,527","$182,000"
baldwin-county-ga,ga,"45,527",27.8%,35.1,"$37,008","17,647","$108,800"
ballard-county-ky,ky,"8,152",18.2%,43.3,"$42,988","3,394","$102,600"
baltimore-county-md,md,"828,431",9.1%,39.5,"$76,182","418,706","$269,900"
baltimore-city-county-md,md,,,,,,
bamberg-county-sc,sc,"14,842",24.5%,41.8,"$32,330","5,592","$65,800"
bandera-county-tx,tx,"21,316",16.5%,52,"$56,413","8,682","$165,900"
banks-county-ga,ga,"18,363",14.3%,40.3,"$42,182","7,796","$128,900"
banner-county-ne,ne,728,8.93%,48.1,"$55,000",398,"$137,200"
bannock-county-id,id,"84,113",17.6%,33.2,"$47,390","36,989","$148,300"
baraga-county-mi,mi,"8,580",14.4%,43.4,"$42,757","2,485","$93,100"
barber-county-ks,ks,"4,905",15.9%,43.4,"$52,075","2,391","$75,600"
barbour-county-al,al,"26,201",27.2%,39.7,"$33,368","8,878","$89,300"
barbour-county-wv,wv,"16,790",22.5%,40.9,"$37,516","6,421","$101,200"
barnes-county-nd,nd,"10,971",10%,44.5,"$56,237","5,780","$117,200"
barnstable-county-ma,ma,"213,900",7.49%,52.4,"$68,048","104,246","$375,000"
barnwell-county-sc,sc,"21,788",27%,40.6,"$34,035","8,004","$76,200"
barren-county-ky,ky,"43,418",22.9%,40.3,"$39,658","18,377","$110,400"
barron-county-wi,wi,"45,358",11.5%,44.2,"$49,257","22,255","$145,500"
barrow-county-ga,ga,"75,099",13.2%,35.1,"$56,119","34,265","$134,300"
barry-county-mi,mi,"59,607",9.27%,42.7,"$57,312","27,877","$146,300"
barry-county-mo,mo,"35,398",20.5%,43.2,"$40,638","14,330","$112,600"
bartholomew-county-in,in,"81,024",12.4%,38.1,"$57,331","39,722","$139,400"
barton-county-ks,ks,,,,,,
barton-county-mo,mo,"11,942",20.9%,40.6,"$41,184","5,304","$97,500"
bartow-county-ga,ga,"102,623",14.2%,37.5,"$52,393","46,890","$140,500"
bastrop-county-tx,tx,"80,306",13.3%,38.8,"$59,185","33,500","$150,300"
bates-county-mo,mo,"16,405",14.3%,41.6,"$45,605","7,261","$108,300"
bath-county-ky,ky,"12,189",24%,39.9,"$38,763","4,462","$77,900"
bath-county-va,va,"4,458",9.26%,47.3,"$44,483","2,073","$151,100"
baxter-county-ar,ar,"41,093",12.6%,51.8,"$40,072","15,926","$124,400"
bay-county-fl,fl,"180,117",15.4%,39.6,"$50,283","80,334","$166,400"
bay-county-mi,mi,"105,350",16.3%,42.9,"$45,983","46,195","$96,800"
bayfield-county-wi,wi,"15,004",11%,51.6,"$50,110","6,994","$163,400"
baylor-county-tx,tx,"3,602",13.1%,48.1,"$36,157","1,434","$67,200"
beadle-county-sd,sd,"18,163",23.7%,37.9,"$48,995","9,105","$104,800"
beaufort-county-nc,nc,"47,316",19.1%,45.4,"$41,101","19,051","$123,600"
beaufort-county-sc,sc,"179,316",11.9%,44,"$60,603","74,171","$283,800"
beauregard-county-la,la,,,,,,
beaver-county-ok,ok,"5,445",11.7%,40.5,"$52,571","2,492","$106,500"
beaver-county-pa,pa,"168,161",10.8%,44.9,"$53,981","81,802","$129,200"
beaverhead-county-mt,mt,"9,360",16.1%,43,"$43,880","4,647","$192,600"
becker-county-mn,mn,"33,552",12.7%,41.8,"$55,884","16,143","$182,100"
beckham-county-ok,ok,"22,971",12.6%,35.1,"$49,625","9,296","$117,100"
bedford-county-pa,pa,"48,891",13.6%,45.9,"$48,703","22,161","$126,800"
bedford-county-tn,tn,"46,854",16.9%,37.2,"$47,117","21,387","$129,700"
bedford-county-va,va,"77,319",8.9%,45.9,"$59,405","36,735","$198,100"
bee-county-tx,tx,"32,729",19.7%,35.2,"$45,415","10,125","$78,500"
belknap-county-nh,nh,"60,383",9.14%,46.7,"$65,834","30,674","$220,400"
bell-county-ky,ky,"27,469",38%,41.6,"$23,558","7,559","$59,400"
bell-county-tx,tx,"355,642",14.3%,30.9,"$54,495","148,030","$153,500"
belmont-county-oh,oh,"68,889",14.1%,44.2,"$46,484","29,211","$94,800"
beltrami-county-mn,mn,"45,847",19%,33.4,"$45,923","20,931","$153,100"
ben-hill-county-ga,ga,"17,272",30.4%,39,"$32,344","6,132","$81,200"
benewah-county-id,id,"9,050",15.8%,46.5,"$43,472","3,450","$150,800"
bennett-county-sd,sd,"3,440",38.1%,28.8,"$45,725","1,212","$69,000"
bennington-county-vt,vt,"36,054",12.8%,46.6,"$52,251","17,605","$208,600"
benson-county-nd,nd,"6,875",33.3%,30.7,"$44,500","2,432","$68,900"
bent-county-co,co,"5,806",24.5%,40.4,"$32,500","1,370","$77,700"
benton-county-ar,ar,"251,823",10.5%,35.2,"$61,271","119,813","$163,000"
benton-county-in,in,"8,685",14.9%,40.9,"$49,183","4,126","$84,900"
benton-county-ia,ia,"25,646",8.66%,42.1,"$64,061","13,230","$147,800"
benton-county-mn,mn,"39,360",14.1%,35.6,"$53,574","20,468","$162,600"
benton-county-ms,ms,"8,306",20.2%,42,"$40,605","2,923","$70,300"
benton-county-mo,mo,"18,918",18.6%,53.2,"$35,097","6,177","$114,600"
benton-county-or,or,"88,249",20.7%,32.8,"$54,682","41,703","$288,700"
benton-county-tn,tn,"16,154",22.3%,46.5,"$33,702","5,721","$88,700"
benton-county-wa,wa,"190,529",13.4%,35.6,"$63,001","85,352","$198,600"
benzie-county-mi,mi,"17,462",10%,48.9,"$53,185","7,679","$162,200"
bergen-county-nj,nj,"936,692",7.22%,42,"$100,361","486,527","$476,200"
berkeley-county-sc,sc,"204,632",12.8%,35.8,"$56,697","93,092","$164,900"
berkeley-county-wv,wv,"111,610",13%,38.8,"$59,480","52,254","$168,200"
berks-county-pa,pa,"420,152",13.6%,40.2,"$62,564","209,400","$186,000"
berkshire-county-ma,ma,"127,751",11.3%,46.5,"$55,190","63,947","$203,300"
bernalillo-county-nm,nm,"678,701",18%,37.8,"$51,208","317,984","$208,400"
berrien-county-ga,ga,"19,014",23.7%,39.5,"$38,297","7,062","$86,700"
berrien-county-mi,mi,"154,948",17.2%,42,"$47,132","70,439","$140,900"
bertie-county-nc,nc,"19,913",22%,45,"$31,287","7,307","$78,900"
bethel-county-ak,ak,,,,,,
bexar-county-tx,tx,1.99M,16.4%,33.8,"$54,149","922,429","$169,700"
bibb-county-al,al,"22,580",15.2%,39.8,"$43,404","8,171","$105,500"
bibb-county-ga,ga,"153,923",26.7%,36,"$38,183","60,590","$117,300"
bienville-county-la,la,,,,,,
big-horn-county-mt,mt,"13,290",26.8%,29.9,"$47,276","4,789","$100,000"
big-horn-county-wy,wy,"11,920",13%,41.2,"$51,716","5,280","$151,900"
big-stone-county-mn,mn,"5,039",11.7%,49,"$48,299","2,388","$97,000"
billings-county-nd,nd,983,10.3%,44.4,"$91,518",498,"$185,300"
bingham-county-id,id,"45,369",13.1%,33.3,"$51,307","19,417","$147,400"
black-hawk-county-ia,ia,"132,960",15.9%,34.9,"$50,916","68,771","$139,300"
blackford-county-in,in,"12,214",12.8%,43.7,"$40,622","5,251","$68,500"
bladen-county-nc,nc,"34,130",24.5%,42.8,"$32,396","13,263","$89,500"
blaine-county-id,id,"21,583",14.8%,42.8,"$58,835","11,954","$390,300"
blaine-county-ne,ne,502,9.76%,46.8,"$52,000",282,"$85,900"
blaine-county-ok,ok,"9,680",15%,42.1,"$46,362","3,470","$83,800"
blair-county-pa,pa,"124,736",15.2%,43.1,"$45,664","56,657","$117,300"
blanco-county-tx,tx,"11,089",10.8%,49.5,"$58,500","5,106","$230,800"
bland-county-va,va,"6,524",8.34%,45.3,"$46,927","2,578","$109,300"
bleckley-county-ga,ga,"12,779",23%,37.4,"$40,688","4,227","$98,800"
bledsoe-county-tn,tn,"14,413",20.7%,44.5,"$40,450","5,270","$129,600"
blount-county-al,al,"57,667",15.6%,40.9,"$47,412","21,380","$122,200"
blount-county-tn,tn,"127,135",13%,43.2,"$51,172","58,333","$169,500"
blue-earth-county-mn,mn,"65,767",18.1%,30.6,"$53,752","37,072","$170,800"
boise-county-id,id,"6,968",11.3%,53.2,"$49,964","2,749","$185,100"
bolivar-county-ms,ms,"33,121",37.4%,35,"$28,468","11,228","$89,100"
bollinger-county-mo,mo,"12,347",19.9%,43.9,"$40,791","4,995","$97,100"
bon-homme-county-sd,sd,"6,972",10.3%,43.5,"$52,923","2,897","$80,400"
bond-county-il,il,"17,034",15.7%,40.4,"$54,393","7,483","$115,200"
bonner-county-id,id,"41,855",14%,47.7,"$45,607","17,199","$222,700"
bonneville-county-id,id,"110,404",11.9%,32.6,"$54,150","48,734","$161,000"
boone-county-ar,ar,,,,,,
boone-county-il,il,"53,638",10.6%,38.3,"$62,701","25,060","$145,700"
boone-county-in,in,"63,013",6.13%,38.4,"$75,591","32,690","$207,500"
boone-county-ia,ia,"26,381",9.4%,41.4,"$57,906","13,803","$130,500"
boone-county-ky,ky,"127,682",7.57%,37.1,"$72,731","64,527","$183,700"
boone-county-mo,mo,"174,589",18.7%,30.6,"$52,005","92,859","$177,800"
boone-county-ne,ne,"5,357",7.26%,45,"$53,854","2,769","$105,600"
boone-county-wv,wv,"23,236",24.4%,42.5,"$37,955","7,030","$71,800"
bosque-county-tx,tx,"17,955",15.6%,46.5,"$48,677","7,475","$106,700"
bossier-county-la,la,,,,,,
botetourt-county-va,va,"33,149",7.67%,47.2,"$64,733","16,102","$220,000"
bottineau-county-nd,nd,"6,651",8.62%,45.2,"$58,767","3,283","$140,500"
boulder-county-co,co,"326,078",13.1%,36.6,"$83,755","178,279","$554,100"
boundary-county-id,id,"11,323",18.3%,43.7,"$39,512","4,044","$181,300"
bourbon-county-ks,ks,"14,757",17.6%,39.3,"$39,379","6,414","$82,600"
bourbon-county-ky,ky,"20,017",16.6%,42.1,"$47,886","9,357","$144,900"
bowie-county-tx,tx,"93,635",17.9%,38.2,"$46,283","36,668","$109,400"
bowman-county-nd,nd,"3,226",8.46%,42.2,"$65,435","1,796","$149,600"
box-butte-county-ne,ne,"11,200",10.9%,40.5,"$56,328","5,509","$105,400"
boyle-county-ky,ky,"29,773",15.5%,40.2,"$43,076","12,386","$141,100"
boyd-county-ne,ne,"2,049",9.83%,52.1,"$48,750","1,020","$63,800"
bracken-county-ky,ky,"8,330",21.4%,40.7,"$40,458","3,498","$102,300"
bradford-county-fl,fl,"26,775",18.8%,40.9,"$46,106","9,118","$90,500"
bradford-county-pa,pa,"61,546",12.2%,44.4,"$50,900","26,598","$145,600"
bradley-county-ar,ar,"10,994",26.4%,40.6,"$36,310","4,112","$74,300"
bradley-county-tn,tn,"103,666",18%,39.2,"$46,381","46,406","$150,100"
branch-county-mi,mi,"43,543",15.9%,41.2,"$48,192","18,861","$97,700"
brantley-county-ga,ga,"18,411",21.8%,40.3,"$36,812","6,430","$68,200"
braxton-county-wv,wv,"14,345",22.1%,44.9,"$41,266","5,320","$91,100"
bristol-county-ri,ri,"49,028",7.05%,44.1,"$74,630","25,027","$341,300"
bristol-county-va,va,,,,,,
broadwater-county-mt,mt,"5,755",7.84%,46.3,"$55,295","2,621","$195,000"
brooke-county-wv,wv,"23,067",13%,46.2,"$48,835","10,404","$91,000"
brookings-county-sd,sd,"33,697",15.9%,26.7,"$53,473","19,080","$165,100"
brooks-county-ga,ga,"15,629",23.6%,43.2,"$34,890","5,865","$92,400"
brazoria-county-tx,tx,"370,200",9.89%,36.1,"$73,623","169,481","$205,600"
briscoe-county-tx,tx,"1,591",13.9%,46.4,"$42,500",729,"$65,700"
breckinridge-county-ky,ky,"19,991",17.7%,43.3,"$44,057","7,757","$95,200"
bremer-county-ia,ia,"24,741",7.72%,39.2,"$65,440","12,931","$155,100"
breathitt-county-ky,ky,"13,276",36%,41.2,"$25,861","4,012","$50,000"
boyd-county-ky,ky,"48,486",19.3%,41.9,"$45,543","18,235","$103,900"
brazos-county-tx,tx,"214,231",26%,25.8,"$43,907","103,649","$170,500"
bristol-county-ma,ma,"564,022",12.2%,40.9,"$66,205","284,738","$317,500"
brooks-county-tx,tx,"7,251",41.5%,31.8,"$24,794","2,489","$61,900"
broome-county-ny,ny,"196,124",17.1%,39.6,"$49,064","87,365","$113,100"
broomfield-county-co,co,"64,283",5.23%,37.8,"$85,639","34,972","$356,500"
broward-county-fl,fl,1.95M,14%,40.4,"$57,278","973,193","$277,600"
brown-county-il,il,"6,791",11.6%,38.7,"$56,289","2,418","$88,600"
brown-county-in,in,"15,007",10.6%,49.3,"$59,292","6,754","$174,800"
brown-county-ks,ks,"9,736",13.2%,42.2,"$46,964","4,589","$83,900"
brown-county-mn,mn,"25,243",8.09%,42.5,"$55,764","13,588","$135,300"
brown-county-ne,ne,"3,058",16%,48.9,"$42,773","1,584","$80,200"
brewster-county-tx,tx,"9,220",10.9%,43.1,"$38,906","4,151","$113,400"
brown-county-oh,oh,"43,799",17.8%,41.6,"$49,188","19,122","$118,600"
brevard-county-fl,fl,"596,849",13.4%,47.2,"$57,888","257,032","$221,300"
brown-county-sd,sd,"38,637",11%,37.3,"$53,807","20,738","$152,900"
brown-county-tx,tx,"37,787",16.4%,41,"$43,062","15,238","$95,100"
brown-county-wi,wi,"263,378",11.3%,38.1,"$61,651","138,055","$180,400"
brule-county-sd,sd,"5,280",14.6%,40.5,"$50,870","2,691","$117,100"
brunswick-county-nc,nc,"122,586",14.1%,51.9,"$51,164","48,982","$194,700"
brunswick-county-va,va,"16,435",20.9%,43.4,"$40,871","6,258","$110,900"
bryan-county-ga,ga,"34,883",14.1%,34.8,"$68,589","15,250","$201,700"
bryan-county-ok,ok,"45,068",17.5%,37.8,"$41,197","18,781","$98,900"
buchanan-county-ia,ia,"21,101",7.8%,38.7,"$59,348","10,412","$132,500"
buchanan-county-mo,mo,"89,425",17.3%,37.1,"$48,652","42,011","$114,800"
buchanan-county-va,va,"22,611",26.5%,46.3,"$30,828","6,679","$71,900"
buckingham-county-va,va,"17,048",16.6%,42.7,"$46,610","6,543","$132,500"
bucks-county-pa,pa,"628,195",6.13%,44,"$88,569","337,276","$338,500"
buena-vista-county-ia,ia,"20,369",13.7%,35.1,"$52,784","10,658","$111,100"
buena-vista-county-va,va,,,,,,
buffalo-county-ne,ne,"48,834",14.4%,32.9,"$55,053","27,447","$161,200"
buffalo-county-sd,sd,"2,048",40.5%,25.3,"$30,500",594,"$51,400"
buffalo-county-wi,wi,"13,243",10.7%,45.7,"$54,753","6,826","$150,400"
bullitt-county-ky,ky,"78,622",10.2%,39.8,"$59,917","38,391","$153,100"
bulloch-county-ga,ga,"73,742",30.4%,28.1,"$39,305","32,662","$131,200"
bullock-county-al,al,"10,478",28.5%,40.8,"$29,655","4,290","$66,800"
buncombe-county-nc,nc,"259,103",13.2%,42.5,"$53,980","133,339","$257,200"
bureau-county-il,il,"33,619",12.6%,43.7,"$54,271","16,262","$106,800"
burke-county-ga,ga,"22,645",29.2%,37.4,"$38,707","8,671","$86,500"
burke-county-nc,nc,"88,898",19.3%,43.6,"$40,854","37,149","$115,400"
burke-county-nd,nd,"2,253",7.29%,35.7,"$71,667","1,129","$115,300"
burleigh-county-nd,nd,"92,372",8.53%,36.6,"$67,308","51,229","$237,000"
burleson-county-tx,tx,"17,596",15.1%,42.9,"$52,510","7,697","$99,500"
burlington-county-nj,nj,"445,384",6.42%,41.7,"$84,889","223,123","$251,400"
burnet-county-tx,tx,"45,017",12.3%,44,"$57,173","19,567","$171,100"
burnett-county-wi,wi,"15,239",14.6%,52.1,"$45,891","6,535","$150,800"
burt-county-ne,ne,"6,546",12.3%,46.6,"$50,174","3,011","$91,600"
butler-county-al,al,"20,126",24.4%,40.7,"$36,326","7,727","$88,800"
butler-county-ia,ia,"14,822",9.42%,43.7,"$53,937","7,431","$112,100"
butler-county-ks,ks,"66,260",10.8%,38.1,"$62,324","31,363","$142,400"
butler-county-ky,ky,"12,735",22%,41.2,"$39,362","5,177","$90,400"
butler-county-mo,mo,"42,826",21.6%,40.3,"$37,878","16,983","$104,600"
butler-county-ne,ne,"8,105",7.8%,43.5,"$52,448","4,121","$111,500"
butler-county-oh,oh,"382,378",12.9%,37.3,"$60,589","184,920","$181,300"
butler-county-pa,pa,"185,984",8.42%,43.1,"$66,037","93,194","$190,000"
butte-county-ca,ca,"225,207",20.5%,36.9,"$46,516","93,439","$238,200"
butte-county-sd,sd,"10,194",11.1%,40.1,"$44,786","5,096","$123,900"
cabarrus-county-nc,nc,"196,716",11.5%,37.9,"$60,716","95,894","$180,300"
butts-county-ga,ga,"23,556",23.5%,38.4,"$39,655","8,655","$121,500"
cabell-county-wv,wv,"96,100",23.2%,38.3,"$37,816","39,455","$119,800"
caddo-county-la,la,,,,,,
caddo-county-ok,ok,"29,437",20.8%,37.1,"$41,626","11,207","$81,900"
calaveras-county-ca,ca,"45,057",12.8%,51.6,"$54,800","16,721","$273,400"
calcasieu-county-la,la,,,,,,
caldwell-county-ky,ky,"12,747",17.5%,42.6,"$46,182","5,330","$95,300"
caldwell-county-la,la,,,,,,
caldwell-county-mo,mo,"9,046",13.3%,42.9,"$44,975","3,840","$103,600"
caldwell-county-nc,nc,"81,805",16.4%,44.1,"$40,735","35,011","$112,400"
caldwell-county-tx,tx,"40,544",17.7%,35.8,"$51,346","18,238","$124,300"
caledonia-county-vt,vt,"30,576",12.3%,43.7,"$47,371","14,475","$164,500"
calhoun-county-al,al,"115,527",18.6%,39.1,"$43,686","47,392","$110,100"
calhoun-county-fl,fl,"14,458",12.9%,40.3,"$36,237","4,698","$80,000"
calhoun-county-ga,ga,"6,503",32.2%,38.4,"$29,617","1,612","$49,000"
calhoun-county-il,il,"4,897",12.8%,46.5,"$53,641","2,166","$110,900"
calhoun-county-ia,ia,"9,814",15.3%,45.1,"$46,302","4,370","$77,800"
calhoun-county-mi,mi,"134,327",17.4%,39.9,"$46,213","58,179","$102,600"
calhoun-county-ms,ms,"14,617",26.9%,40.5,"$33,370","5,260","$66,600"
calhoun-county-sc,sc,"14,808",18.3%,45.9,"$44,010","6,362","$103,900"
calhoun-county-tx,tx,"21,821",15.8%,37.7,"$58,788","9,676","$114,900"
calhoun-county-wv,wv,"7,450",17.1%,47.9,"$36,279","2,284","$79,900"
callahan-county-tx,tx,"13,660",15.6%,43.3,"$40,945","5,128","$76,500"
callaway-county-mo,mo,"44,793",12.3%,38.3,"$53,180","20,199","$132,500"
calloway-county-ky,ky,"38,616",22.4%,34.7,"$39,269","17,382","$130,100"
